Id,Organizacion,Enlace Organizacion,Titulo Servicio,Enlace servicio,Nombre Capa,Titulo Capa,Eje Pertenece,subeje,Identificador,PalabraClave,Tipo,Estado,Error,Nota
55,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,AreasNaturales,https://www.geoportaligm.gob.ec/p_geoinformacion/AreasNaturales/wms?,AN_BosquesProtectores,Bosques Protectores 1:50000,MEDIO FÍSICO,áreas protegidas,cuenca_bosque_protegido,bosque protegido,wms,Activo,,
56,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,PANE_CoberturaUso,https://www.geoportaligm.gob.ec/p_geoinformacion/PANE_CoberturaUso/wms?,CoberturaUso_Quimsacocha,Quimsacocha Cobertura Uso 1:25000,USO Y OCUPACIÓN DEL SUELO,zona de conservacion,cuenca_bosque_nativo,"bosque nativo, paramo, plantacion florestal, pastizal, vegetación herbácea",wms,Activo,,
57,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,PANE_CoberturaUso,https://www.geoportaligm.gob.ec/p_geoinformacion/PANE_CoberturaUso/wms?,CoberturaUso_Cajas,Cajas Cobertura Uso 1:25000,USO Y OCUPACIÓN DEL SUELO,cajas,azuay_cajas_usos_suelo,uso de suelo cajas,wms,Activo,,
58,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,PANE_Geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/PANE_Geopedologia/wms?,Geopedologia_Cajas,Cajas Geopedología 1:25000,MEDIO FÍSICO,cajas,cajas_clasificacion_de_suelo,Clasfificación suelo Cajas ,wms,Activo,,
59,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,PANE_CUT,https://www.geoportaligm.gob.ec/p_geoinformacion/PANE_CUT/wms?,CUT_Cajas,Cajas CUT 1:25000,MEDIO FÍSICO,cajas,cajas_capacidad_de_uso,Capacidad uso Cajas,wms,Activo,,
288,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uejecutora_proyectos,ide:uejecutora_proyectos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_proyectos_viales,Proyectos viales vialidad vias ,wms,Activo,,
289,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uejecutora_emision,ide:uejecutora_emision,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_ejecucion_proyectos_viales,Ejecución proyectos viales vialidad vias,wms,Activo,,
290,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uejecutora_bmvcaf2,ide:uejecutora_bmvcaf2,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_ejecucion_vial,Ejecución Vial vias vialidad,wms,Activo,,
291,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uejec_ejecucion_vial,ide:uejec_ejecucion_vial,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_ejecucion_vial,Ejecucion vial vias vialidad,wms,Activo,,
292,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uejec_diagnostico_vial,ide:uejec_diagnostico_vial,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_diagnostico_vial,Diagnostivo vial vias vialidad,wms,Activo,,
293,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uej_pozostxt,ide:uej_pozostxt,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,alcantarillado,cuenca_pozos,Pozos nombres,wms,Activo,,
294,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uej_pozos,ide:uej_pozos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,alcantarillado,cuenca_ubicacion_pozos,ubicación de pozos sépticos,wms,Activo,,
295,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uej_postes,ide:uej_postes,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,energia electrica,cuenca_postes,Postes de luz postes,wms,Activo,,
296,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:uej_ductostxt,ide:uej_ductostxt,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,ductos,cuenca_ductos_nombres,Ductos nombres,wms,Activo,,
300,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:tramites_finalizados,ide:tramites_finalizados,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,tramites,cuenca_tramites_finalizados,Tramites finalizados,wms,Activo,,
301,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:tramites_en_proceso,ide:tramites_en_proceso,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,tramites,cuenca_tramites_proceso,Tramites en procesos,wms,Activo,,
302,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:sectores,ide:sectores,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,sectores de planificacion,cuenca_sectores_planificacion,Sectores de planificacion ,wms,Activo,,
303,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:requerimientos21,ide:requerimientos21,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_2021,Proyectos 2021,wms,Activo,,
304,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:requerimientos20,ide:requerimientos20,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_2020,Proyectos 2020,wms,Activo,,
306,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:puntos_pago,ide:puntos_pago,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamientos de servicio,cuenca_puntos_pago_etapa,Puntos de pago etapa,wms,Activo,,
307,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:proyectosbde,ide:proyectosbde,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_equipamientos,Proyectos de equipamientos,wms,Activo,,
308,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:proyectos_caf,ide:proyectos_caf,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos,Proyectos,wms,Activo,,
309,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:predios_gad,ide:predios_gad,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,predios,cuenca_predios_gad,Predios GAD,wms,Activo,,
310,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_transparencia,ide:poa_transparencia,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_anti_corrupcion,Proyectos anti la corrupción,wms,Activo,,
312,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_riegos,ide:poa_riegos,MEDIO FÍSICO,riesgos,cuenca_gestion_riesgos,Gestion de riesgos,wms,Activo,,
313,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_relaciones,ide:poa_relaciones,ECONÓMICO,actividades economicas,cuenca_relaciones_internacionales_cooperacion,Relaciones internacionales y cooperación,wms,Activo,,
314,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_proyectosgis,ide:poa_proyectosgis,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_infraestructura_equipamiento,Proyectos de infraestructura y equipamiento,wms,Activo,,
315,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_participacion,ide:poa_participacion,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_participacion,Proyectos de participación,wms,Activo,,
316,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_parques,ide:poa_parques,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamientos recreacion y deporte,cuenca_parques,Parques,wms,Activo,,
317,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_obras,ide:poa_obras,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_obras_intervenciones,Obras e interveciones,wms,Activo,,
318,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_mercados,ide:poa_mercados,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamiento aprovisionamiento,cuenca_mercados_comercio_autonomo,Mercados y comercio autonomo,wms,Activo,,
319,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_etapagapasa,ide:poa_etapagapasa,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_etapa,Proyectos Etapa,wms,Activo,,
320,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_emac,ide:poa_emac,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_emac,Proyectos EMAC,wms,Activo,,
322,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_desarrollo_social,ide:poa_desarrollo_social,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_desarrollo_social_productivo,Proyectos de desarrollo social y productivo,wms,Activo,,
325,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_cga,ide:poa_cga,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyecto_gestion_ambiental,Proyecto de gestion ambiental,wms,Activo,,
327,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:poa_aridos,ide:poa_aridos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_proyectos_planes_aridos_petreos,Proyectos y planes de aridos y petreos,wms,Activo,,
328,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:plan_sectores_2003,ide:plan_sectores_2003,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,sectores de planificacion,cuenca_sectores_cuenca_2003,Sectores Cuenca 2003,wms,Activo,,
329,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:plan_restriccion_uso,ide:plan_restriccion_uso,MEDIO FÍSICO,riesgos,cuenca_planes_proteccion_riesgo,Planes de proteccion y riesgo,wms,Activo,,
330,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:plan_reestructuracion,ide:plan_reestructuracion,CULTURAL Y PATRIMONIAL,patrimonio cultural,cuenca_plan_restauracion,Plan de restauracion ,wms,Activo,,
333,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:plan_nourbanizable,ide:plan_nourbanizable,USO Y OCUPACIÓN DEL SUELO,uso de suelo,cuenca_suelos_urbanizados,Suelos no urbanizados ,wms,Activo,,
336,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:plan_areaverde,ide:plan_areaverde,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamientos recreacion y deporte,cuenca_plan_areas_verdes,Plan áreas verdes,wms,Activo,,
337,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_proteccionnatural,ide:pdot_proteccionnatural,MEDIO FÍSICO,areas protegidas,cuenca_proteccion_suelo,Proteccion de suelo,wms,Activo,,
338,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_noUrban_deslizamientos,ide:pdot_noUrban_deslizamientos,MEDIO FÍSICO,riesgos,cuenca_deslizamientos,Deslizamientos,wms,Activo,,
339,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_noUrban_derrumbes,ide:pdot_noUrban_derrumbes,MEDIO FÍSICO,riesgos,cuenca_derrumbes,Desrrumbes,wms,Activo,,
340,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_margenes_proteccion,ide:pdot_margenes_proteccion,USO Y OCUPACIÓN DEL SUELO,margenes de proteccion de rios,cuenca_margen_proteccion_rios,Margen de protección ríos,wms,Activo,,
341,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_deficit_equipamientos_2010,ide:pdot_deficit_equipamientos_2010,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamientos,cuenca_falta_equipamientos_2010,Falta de equipamientos 2010,wms,Activo,,
342,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_categorias,ide:pdot_categorias,MEDIO FÍSICO,areas protegidas,cuenca_area_proteccion_conservacion,Área de proteccion y conservación,wms,Activo,,
343,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_amenazas_PRECUPA,ide:pdot_amenazas_PRECUPA,MEDIO FÍSICO,riesgos,cuenca_amenazas_naturales,Amenazas naturales,wms,Activo,,
344,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_Limitacion_Topografica,ide:pdot_Limitacion_Topografica,MEDIO FÍSICO,geologia,cuenca_limitacion_topografica,Limitación topografica,wms,Activo,,
345,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_Jerarquia_Asentamientos,ide:pdot_Jerarquia_Asentamientos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,jerarquia de asentamientos,cuenca_jerarquias_asentamientos_humanos,Jerarquias de asentamientos humanos,wms,Activo,,
346,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_Inundacion_inestabilidad,ide:pdot_Inundacion_inestabilidad,MEDIO FÍSICO,riesgos,cuenca_inundaciones,Inundaciones,wms,Activo,,
347,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:pdot_GeologicamenteInestable,ide:pdot_GeologicamenteInestable,MEDIO FÍSICO,riesgos,cuenca_terrenos_inestable,Terrenos inestable,wms,Activo,,
348,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:paradas_tranvia,ide:paradas_tranvia,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,estaciones,cuenca_paradas_tranvia,Paradas tranvia,wms,Activo,,
349,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:osm_farmacias,ide:osm_farmacias,USO Y OCUPACIÓN DEL SUELO,uso de suelo,cuenca_farmacias,Farmacias,wms,Activo,,
350,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:osm_centros_medicos,ide:osm_centros_medicos,USO Y OCUPACIÓN DEL SUELO,uso de suelo,cuenca_centros_medicos,Centros medicos,wms,Activo,,
351,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:ordenanzach,ide:ordenanzach,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,ordenanzas,cuenca_ordenanza_proteccion_conservacion,Ordenza de proteccion y conservacion ,wms,Activo,,
352,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:oopp_obras_muni,ide:oopp_obras_muni,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_obras_municipales,Obras municipales,wms,Activo,,
353,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:oopp_obras_gad,ide:oopp_obras_gad,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,proyectos,cuenca_obras_gad_parroquiales,Obras GAD Parroquiales,wms,Activo,,
355,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:odk_mantenimientos,ide:odk_mantenimientos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,infrestructura vial,cuenca_mantenimiento_vial,Mnatenimiento vial,wms,Activo,,
358,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:nucleos,ide:nucleos,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,asentamientos humanos,cuenca_grupos_asentamientos,Grupos de asentamientos,wms,Activo,,
359,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:monitoreoruido,ide:monitoreoruido,MEDIO FÍSICO,ruido,cuenca_ruido_ciudad,Ruido ciudad ,wms,Activo,,
361,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:minas_conceciones,ide:minas_conceciones,MEDIO FÍSICO,explotacion minera,cuenca_minas,Minas,wms,Activo,,
364,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:mercados_01,ide:mercados_01,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,equipamiento aprovisionamiento,cuenca_mercados_nivel_2,Mercados nivel 2,wms,Activo,,
365,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:limites_parroquias_urbanas,ide:limites_parroquias_urbanas,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,limites,cuenca_parroquias_urbanas,Mapa de parroquias urbanas,wms,Activo,,
366,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:limites_parroquias_rurales,ide:limites_parroquias_rurales,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,limites,cuenca_parroquias_rurales,Mapa de parroquias rurales,wms,Activo,,
367,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:limites_centro_historico,ide:limites_centro_historico,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,limites,cuenca_limite_historico,Limite de centro historico,wms,Activo,,
368,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:limites_cabeceras,ide:limites_cabeceras,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,limites,cuenca_limite_cabeceras,Limite de cabeceras,wms,Activo,,
373,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:igm_cuenca_nv_f4b_d_25cm_rgb_20181023,ide:igm_cuenca_nv_f4b_d_25cm_rgb_20181023,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,imagen satelital,cuenca_fotografia_satelital_1,Cuenca -  fotografia satelital 1,wms,Activo,,
374,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:igm_cuenca_nv_f4a_c_25cm_rgb_20181023,ide:igm_cuenca_nv_f4a_c_25cm_rgb_20181023,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,imagen satelital,cuenca_fotografia_satelital_2,Cuenca -  fotografia satelital 2,wms,Activo,,
375,GAD Municipal Cuenca,http://ide.cuenca.gob.ec/geoserver,ide,http://ide.cuenca.gob.ec/geoserver/ide/wms?,ide:igm_cuenca_nv_f3b_d_25_cm_rgb_20181024,ide:igm_cuenca_nv_f3b_d_25_cm_rgb_20181024,ASENTAMIENTOS HUMANOS Y CANALES DE RELACIÓN,imagen satelital,cuenca_fotografia_satelital_3,Cuenca -  fotografia satelital 3,wms,Activo,,
